Date Scan;Outil;Cible;ID Vulnérabilité (CVE);Titre / Package;Sévérité;Description
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-9256;nginx;CRITICAL;NGINX Plus and NGINX Open Source have a vulnerability in the ngx_http_rewrite_module module. This vu...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-5450;libc-bin;CRITICAL;Calling the scanf family of functions with a %mc (malloc'd character match) in the GNU C Library ver...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-5450;libc6;CRITICAL;Calling the scanf family of functions with a %mc (malloc'd character match) in the GNU C Library ver...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-8376;perl-base;CRITICAL;Perl versions through 5.43.10 have a heap buffer overflow when compiling regular expressions with a ...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-42496;perl-base;CRITICAL;Archive::Tar versions before 3.08 for Perl extract symlinks with attacker controlled targets outside...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-33164;libde265-0;HIGH;libde265 is an open source implementation of the h.265 video codec. Prior to version 1.0.17, a malfo...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-6732;libxml2;HIGH;A flaw was found in libxml2. This vulnerability occurs when the library processes a specially crafte...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2025-13151;libtasn1-6;HIGH;Stack-based buffer overflow in libtasn1 version: v4.20.0. The function fails to validate the size of...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2025-59375;libexpat1;HIGH;libexpat in Expat before 2.7.2 allows attackers to trigger large dynamic memory allocations via a sm...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-48962;perl-base;HIGH;IO::Compress versions before 2.220 for Perl can execute arbitrary code in File::GlobMapper via an at...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-5928;libc-bin;HIGH;Calling the ungetwc function on a FILE stream with wide characters encoded in a character set that h...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-5928;libc6;HIGH;Calling the ungetwc function on a FILE stream with wide characters encoded in a character set that h...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-5435;libc-bin;HIGH;The deprecated functions ns_printrrf, ns_printrr and fp_nquery in the GNU C Library version 2.2 and ...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-5435;libc6;HIGH;The deprecated functions ns_printrrf, ns_printrr and fp_nquery in the GNU C Library version 2.2 and ...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-32882;libheif-plugin-dav1d;HIGH;libheif is a HEIF and AVIF file format decoder and encoder. Versions 1.21.2 and prior contain a heap...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-32882;libheif-plugin-libde265;HIGH;libheif is a HEIF and AVIF file format decoder and encoder. Versions 1.21.2 and prior contain a heap...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-32882;libheif1;HIGH;libheif is a HEIF and AVIF file format decoder and encoder. Versions 1.21.2 and prior contain a heap...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-41071;libheif-plugin-dav1d;HIGH;libheif is a HEIF and AVIF file format decoder and encoder. In versions 1.21.2 and prior, a crafted ...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-41071;libheif-plugin-libde265;HIGH;libheif is a HEIF and AVIF file format decoder and encoder. In versions 1.21.2 and prior, a crafted ...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-41071;libheif1;HIGH;libheif is a HEIF and AVIF file format decoder and encoder. In versions 1.21.2 and prior, a crafted ...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2025-68431;libheif-plugin-dav1d;HIGH;libheif is an HEIF and AVIF file format decoder and encoder. Prior to version 1.21.0, a crafted HEIF...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2025-68431;libheif-plugin-libde265;HIGH;libheif is an HEIF and AVIF file format decoder and encoder. Prior to version 1.21.0, a crafted HEIF...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2025-68431;libheif1;HIGH;libheif is an HEIF and AVIF file format decoder and encoder. Prior to version 1.21.0, a crafted HEIF...
2026-06-01 08:28:06;GRYPE;nginx:latest;CVE-2026-48959;perl-base;HIGH;IO::Uncompress::Unzip versions before 2.220 for Perl allow CPU exhaustion via per-byte read loop in ...
